tick,num_agents,vocab_size,num_alliances,num_groups,passed_norms,open_proposals,total_research,total_votes,avg_energy,graph_density,longest_word_survival
1,20,63,0,0,0,0,0,0,99.5,0.02631578947368421,0
2,20,122,0,0,0,0,3,0,99.0,0.042105263157894736,1
3,20,180,0,0,0,0,6,0,98.5,0.05263157894736842,2
4,20,236,0,0,0,0,9,0,98.0,0.05789473684210526,3
5,20,282,0,0,0,0,18,0,97.5,0.05789473684210526,4
6,20,336,0,0,0,0,27,0,97.0,0.05789473684210526,5
7,20,395,0,0,0,0,36,0,96.5,0.05789473684210526,6
8,20,465,0,0,0,0,42,0,96.0,0.05789473684210526,7
9,20,513,0,0,0,0,48,0,95.5,0.060526315789473685,8
10,20,569,0,0,0,0,54,0,95.0,0.06315789473684211,9
11,20,599,0,0,0,0,57,0,94.5,0.06315789473684211,10
12,20,637,0,0,0,0,63,0,94.0,0.06315789473684211,11
13,20,675,0,0,0,0,69,0,93.5,0.06315789473684211,12
14,20,716,0,0,0,0,72,0,93.0,0.06315789473684211,13
15,20,752,0,0,0,0,75,0,92.5,0.06315789473684211,14
16,20,788,0,0,0,0,81,0,92.0,0.06315789473684211,15
17,20,818,0,0,0,0,84,0,91.5,0.06315789473684211,16
18,20,858,0,0,0,0,90,0,91.0,0.06315789473684211,17
19,20,884,0,0,0,0,96,0,90.5,0.06315789473684211,18
20,20,910,0,0,0,0,99,0,90.0,0.06315789473684211,19
21,20,947,0,0,0,0,102,0,89.5,0.06315789473684211,20
22,20,973,0,0,0,0,108,0,89.0,0.06315789473684211,21
23,20,1006,0,0,0,0,114,0,88.5,0.06315789473684211,22
24,20,1025,0,0,0,0,117,0,88.0,0.06315789473684211,23
25,20,1052,0,0,0,0,120,0,87.5,0.06315789473684211,24
26,20,1073,0,0,0,0,126,0,87.0,0.06315789473684211,25
27,20,1104,0,0,0,0,132,0,86.5,0.06315789473684211,26
28,20,1142,0,0,0,0,135,0,86.0,0.06315789473684211,27
29,20,1172,0,0,0,0,135,0,85.5,0.06842105263157895,28
30,20,1210,0,0,0,0,135,0,85.0,0.07368421052631578,29
31,20,1241,0,0,0,0,135,0,84.5,0.07631578947368421,30
32,20,1265,0,0,0,0,135,0,84.0,0.07894736842105263,31
33,20,1286,0,0,0,0,135,0,83.5,0.07894736842105263,32
34,20,1314,0,0,0,0,135,0,83.0,0.07894736842105263,33
35,20,1353,0,0,0,0,135,0,82.5,0.07894736842105263,34
36,20,1383,0,0,0,0,135,0,82.0,0.07894736842105263,35
37,20,1402,0,0,0,0,135,0,81.5,0.07894736842105263,36
38,20,1427,0,0,0,0,135,0,81.0,0.07894736842105263,37
39,20,1446,0,0,0,0,135,0,80.5,0.07894736842105263,38
40,20,1479,0,0,0,0,135,0,80.0,0.07894736842105263,39
41,20,1500,0,0,0,0,135,0,79.5,0.07894736842105263,40
42,20,1516,0,0,0,0,135,0,79.0,0.07894736842105263,41
43,20,1540,0,0,0,0,135,0,78.5,0.07894736842105263,42
44,20,1559,0,0,0,0,135,0,78.0,0.07894736842105263,43
45,20,1579,0,0,0,0,135,0,77.5,0.07894736842105263,44
46,20,1602,0,0,0,0,135,0,77.0,0.07894736842105263,45
47,20,1620,0,0,0,0,135,0,76.5,0.07894736842105263,46
48,20,1645,0,0,0,0,135,0,76.0,0.07894736842105263,47
49,20,1667,0,0,0,0,135,0,75.5,0.07894736842105263,48
50,20,1698,0,0,0,0,135,0,75.0,0.07894736842105263,49
